id,identifier,species_id,height,weight,base_experience,order,is_default,identifier_jap,identifier_jap,type_jap
91,cloyster,91,15,1325,184,104,1,91,パルシェン,水中3
92,gastly,92,13,1,62,105,1,92,ゴース,不定形
93,haunter,93,16,1,142,106,1,93,ゴースト,不定形
94,gengar,94,15,405,225,107,1,94,ゲンガー,不定形
95,onix,95,88,2100,77,109,1,95,イワーク,鉱物
96,drowzee,96,10,324,66,111,1,96,スリープ,人型
97,hypno,97,16,756,169,112,1,97,スリーパー,人型
98,krabby,98,4,65,65,113,1,98,クラブ,水中3
99,kingler,99,13,600,166,114,1,99,キングラー,水中3
100,voltorb,100,5,104,66,115,1,100,ビリリダマ,鉱物
101,electrode,101,12,666,168,116,1,101,マルマイン,鉱物
102,exeggcute,102,4,25,65,117,1,102,タマタマ,植物
103,exeggutor,103,20,1200,182,118,1,103,ナッシー,植物
104,cubone,104,4,65,64,119,1,104,カラカラ,怪獣
105,marowak,105,10,450,149,120,1,105,ガラガラ,怪獣
106,hitmonlee,106,15,498,159,122,1,106,サワムラー,人型
107,hitmonchan,107,14,502,159,123,1,107,エビワラー,人型
108,lickitung,108,12,655,77,125,1,108,ベロリンガ,怪獣
109,koffing,109,6,10,68,127,1,109,ドガース,不定形
110,weezing,110,12,95,172,128,1,110,マタドガス,不定形
111,rhyhorn,111,10,1150,69,129,1,111,サイホーン,怪獣陸上
112,rhydon,112,19,1200,170,130,1,112,サイドン,怪獣陸上
113,chansey,113,11,346,395,133,1,113,ラッキー,妖精
114,tangela,114,10,350,87,135,1,114,モンジャラ,植物
115,kangaskhan,115,22,800,172,137,1,115,ガルーラ,怪獣
116,horsea,116,4,80,59,139,1,116,タッツー,水中1ドラゴン
117,seadra,117,12,250,154,140,1,117,シードラ,水中1ドラゴン
118,goldeen,118,6,150,64,142,1,118,トサキント,水中2
119,seaking,119,13,390,158,143,1,119,アズマオウ,水中2
120,staryu,120,8,345,68,144,1,120,ヒトデマン,水中3
121,starmie,121,11,800,182,145,1,121,スターミー,水中3
122,mr-mime,122,13,545,161,147,1,122,バリヤード,人型
123,scyther,123,15,560,100,148,1,123,ストライク,虫
124,jynx,124,14,406,159,152,1,124,ルージュラ,人型
125,electabuzz,125,11,300,172,154,1,125,エレブー,人型
126,magmar,126,13,445,173,157,1,126,ブーバー,人型
127,pinsir,127,15,550,175,159,1,127,カイロス,虫
128,tauros,128,14,884,172,161,1,128,ケンタロス,陸上
129,magikarp,129,9,100,40,162,1,129,コイキング,水中2ドラゴン
130,gyarados,130,65,2350,189,163,1,130,ギャラドス,水中2ドラゴン
131,lapras,131,25,2200,187,165,1,131,ラプラス,怪獣水中1
132,ditto,132,3,40,101,166,1,132,メタモン,メタモン
133,eevee,133,3,65,65,167,1,133,イーブイ,陸上
134,vaporeon,134,10,290,184,168,1,134,シャワーズ,陸上
135,jolteon,135,8,245,184,169,1,135,サンダース,陸上
136,flareon,136,9,250,184,170,1,136,ブースター,陸上
137,porygon,137,8,365,79,176,1,137,ポリゴン,鉱物
138,omanyte,138,4,75,71,179,1,138,オムナイト,水中1水中3
139,omastar,139,10,350,173,180,1,139,オムスター,水中1水中3
140,kabuto,140,5,115,71,181,1,140,カブト,水中1水中3
141,kabutops,141,13,405,173,182,1,141,カブトプス,水中1水中3
142,aerodactyl,142,18,590,180,183,1,142,プテラ,飛行
143,snorlax,143,21,4600,189,186,1,143,カビゴン,怪獣
144,articuno,144,17,554,261,187,1,144,フリーザー,未発見
145,zapdos,145,16,526,261,188,1,145,サンダー,未発見
146,moltres,146,20,600,261,189,1,146,ファイヤー,未発見
147,dratini,147,18,33,60,190,1,147,ミニリュウ,水中1ドラゴン
148,dragonair,148,40,165,147,191,1,148,ハクリュー,水中1ドラゴン
149,dragonite,149,22,2100,270,192,1,149,カイリュー,水中1ドラゴン
150,mewtwo,150,20,1220,306,193,1,150,ミュウツー,未発見
151,mew,151,4,40,270,196,1,151,ミュウ,未発見
152,chikorita,152,9,64,64,197,1,152,チコリータ,怪獣植物
153,bayleef,153,12,158,142,198,1,153,ベイリーフ,怪獣植物
154,meganium,154,18,1005,236,199,1,154,メガニウム,怪獣植物
155,cyndaquil,155,5,79,62,200,1,155,ヒノアラシ,陸上
156,quilava,156,9,190,142,201,1,156,マグマラシ,陸上
157,typhlosion,157,17,795,240,202,1,157,バクフーン,陸上
158,totodile,158,6,95,63,203,1,158,ワニノコ,怪獣水中1
159,croconaw,159,11,250,142,204,1,159,アリゲイツ,怪獣水中1
160,feraligatr,160,23,888,239,205,1,160,オーダイル,怪獣水中1
161,sentret,161,8,60,43,206,1,161,オタチ,陸上
162,furret,162,18,325,145,207,1,162,オオタチ,陸上
163,hoothoot,163,7,212,52,208,1,163,ホーホー,飛行
164,noctowl,164,16,408,155,209,1,164,ヨルノズク,飛行
165,ledyba,165,10,108,53,210,1,165,レディバ,虫
166,ledian,166,14,356,137,211,1,166,レディアン,虫
167,spinarak,167,5,85,50,212,1,167,イトマル,虫
168,ariados,168,11,335,137,213,1,168,アリアドス,虫
169,crobat,169,18,750,241,50,1,169,クロバット,飛行
170,chinchou,170,5,120,66,214,1,170,チョンチー,水中2
171,lanturn,171,12,225,161,215,1,171,ランターン,水中2
172,pichu,172,3,20,41,29,1,172,ピチュー,未発見
173,cleffa,173,3,30,44,40,1,173,ピィ,未発見
174,igglybuff,174,3,10,42,45,1,174,ププリン,未発見
175,togepi,175,3,15,49,216,1,175,トゲピー,未発見
176,togetic,176,6,32,142,217,1,176,トゲチック,飛行妖精
177,natu,177,2,20,64,219,1,177,ネイティ,飛行
178,xatu,178,15,150,165,220,1,178,ネイティオ,飛行
179,mareep,179,6,78,56,221,1,179,メリープ,怪獣陸上
180,flaaffy,180,8,133,128,222,1,180,モココ,怪獣陸上
181,ampharos,181,14,615,225,223,1,181,デンリュウ,怪獣陸上
182,bellossom,182,4,58,216,54,1,182,キレイハナ,植物
183,marill,183,4,85,88,226,1,183,マリル,水中1妖精
184,azumarill,184,8,285,185,227,1,184,マリルリ,水中1妖精
185,sudowoodo,185,12,380,144,229,1,185,ウソッキー,鉱物
186,politoed,186,11,339,225,72,1,186,ニョロトノ,水中1
187,hoppip,187,4,5,50,230,1,187,ハネッコ,妖精植物
188,skiploom,188,6,10,119,231,1,188,ポポッコ,妖精植物
189,jumpluff,189,8,30,203,232,1,189,ワタッコ,妖精植物
190,aipom,190,8,115,72,233,1,190,エイパム,陸上
191,sunkern,191,3,18,36,235,1,191,ヒマナッツ,植物
192,sunflora,192,8,85,149,236,1,192,キマワリ,植物
193,yanma,193,12,380,78,237,1,193,ヤンヤンマ,虫
194,wooper,194,4,85,42,239,1,194,ウパー,水中1陸上
195,quagsire,195,14,750,151,240,1,195,ヌオー,水中1陸上
196,espeon,196,9,265,184,171,1,196,エーフィ,陸上
197,umbreon,197,10,270,184,172,1,197,ブラッキー,陸上
198,murkrow,198,5,21,81,241,1,198,ヤミカラス,飛行
199,slowking,199,20,795,172,92,1,199,ヤドキング,怪獣水中1
200,misdreavus,200,7,10,87,243,1,200,ムウマ,不定形
201,unown,201,5,50,118,245,1,201,アンノーン,未発見
202,wobbuffet,202,13,285,142,247,1,202,ソーナンス,不定形
203,girafarig,203,15,415,159,248,1,203,キリンリキ,陸上
204,pineco,204,6,72,58,249,1,204,クヌギダマ,虫
205,forretress,205,12,1258,163,250,1,205,フォレトス,虫
206,dunsparce,206,15,140,145,251,1,206,ノコッチ,陸上
207,gligar,207,11,648,86,252,1,207,グライガー,虫
208,steelix,208,92,4000,179,110,1,208,ハガネール,鉱物
209,snubbull,209,6,78,60,254,1,209,ブルー,陸上妖精
210,granbull,210,14,487,158,255,1,210,グランブル,陸上妖精
211,qwilfish,211,5,39,86,256,1,211,ハリーセン,水中2
212,scizor,212,18,1180,175,149,1,212,ハッサム,虫
213,shuckle,213,6,205,177,257,1,213,ツボツボ,虫
214,heracross,214,15,540,175,258,1,214,ヘラクロス,虫
215,sneasel,215,9,280,86,260,1,215,ニューラ,陸上
216,teddiursa,216,6,88,66,262,1,216,ヒメグマ,陸上
217,ursaring,217,18,1258,175,263,1,217,リングマ,陸上
218,slugma,218,7,350,50,264,1,218,マグマッグ,不定形
219,magcargo,219,8,550,144,265,1,219,マグカルゴ,不定形
220,swinub,220,4,65,50,266,1,220,ウリムー,陸上
221,piloswine,221,11,558,158,267,1,221,イノムー,陸上
222,corsola,222,6,50,133,269,1,222,サニーゴ,水中1水中3
223,remoraid,223,6,120,60,270,1,223,テッポウオ,水中1水中2
224,octillery,224,9,285,168,271,1,224,オクタン,水中1水中2
225,delibird,225,9,160,116,272,1,225,デリバード,水中1陸上
226,mantine,226,21,2200,163,274,1,226,マンタイン,水中1
227,skarmory,227,17,505,163,275,1,227,エアームド,飛行
228,houndour,228,6,108,66,276,1,228,デルビル,陸上
229,houndoom,229,14,350,175,277,1,229,ヘルガー,陸上
230,kingdra,230,18,1520,243,141,1,230,キングドラ,水中1ドラゴン
231,phanpy,231,5,335,66,279,1,231,ゴマゾウ,陸上
232,donphan,232,11,1200,175,280,1,232,ドンファン,陸上
233,porygon2,233,6,325,180,177,1,233,ポリゴン２,鉱物
234,stantler,234,14,712,163,281,1,234,オドシシ,陸上
235,smeargle,235,12,580,88,282,1,235,ドーブル,陸上
236,tyrogue,236,7,210,42,121,1,236,バルキー,未発見
237,hitmontop,237,14,480,159,124,1,237,カポエラー,人型
238,smoochum,238,4,60,61,151,1,238,ムチュール,未発見
239,elekid,239,6,235,72,153,1,239,エレキッド,未発見
240,magby,240,7,214,73,156,1,240,ブビィ,未発見
241,miltank,241,12,755,172,283,1,241,ミルタンク,陸上
242,blissey,242,15,468,608,134,1,242,ハピナス,妖精
243,raikou,243,19,1780,261,284,1,243,ライコウ,未発見
244,entei,244,21,1980,261,285,1,244,エンテイ,未発見
245,suicune,245,20,1870,261,286,1,245,スイクン,未発見
246,larvitar,246,6,720,60,287,1,246,ヨーギラス,怪獣
247,pupitar,247,12,1520,144,288,1,247,サナギラス,怪獣
248,tyranitar,248,20,2020,270,289,1,248,バンギラス,怪獣
249,lugia,249,52,2160,306,291,1,249,ルギア,未発見
250,ho-oh,250,38,1990,306,292,1,250,ホウオウ,未発見
251,celebi,251,6,50,270,293,1,251,セレビィ,未発見
252,treecko,252,5,50,62,294,1,252,キモリ,怪獣ドラゴン
253,grovyle,253,9,216,142,295,1,253,ジュプトル,怪獣ドラゴン
254,sceptile,254,17,522,239,296,1,254,ジュカイン,怪獣ドラゴン
255,torchic,255,4,25,62,297,1,255,アチャモ,陸上
256,combusken,256,9,195,142,298,1,256,ワカシャモ,陸上
257,blaziken,257,19,520,239,299,1,257,バシャーモ,陸上
258,mudkip,258,4,76,62,301,1,258,ミズゴロウ,怪獣水中1
259,marshtomp,259,7,280,142,302,1,259,ヌマクロー,怪獣水中1
260,swampert,260,15,819,241,303,1,260,ラグラージ,怪獣水中1
261,poochyena,261,5,136,44,304,1,261,ポチエナ,陸上
262,mightyena,262,10,370,147,305,1,262,グラエナ,陸上
263,zigzagoon,263,4,175,48,306,1,263,ジグザグマ,陸上
264,linoone,264,5,325,147,307,1,264,マッスグマ,陸上
265,wurmple,265,3,36,39,308,1,265,ケムッソ,虫
266,silcoon,266,6,100,72,309,1,266,カラサリス,虫
267,beautifly,267,10,284,173,310,1,267,アゲハント,虫
268,cascoon,268,7,115,41,311,1,268,マユルド,虫
269,dustox,269,12,316,135,312,1,269,ドクケイル,虫
270,lotad,270,5,26,44,313,1,270,ハスボー,水中1植物
271,lombre,271,12,325,119,314,1,271,ハスブレロ,水中1植物
272,ludicolo,272,15,550,216,315,1,272,ルンパッパ,水中1植物
273,seedot,273,5,40,44,316,1,273,タネボー,陸上植物
274,nuzleaf,274,10,280,119,317,1,274,コノハナ,陸上植物
275,shiftry,275,13,596,216,318,1,275,ダーテング,陸上植物
276,taillow,276,3,23,54,319,1,276,スバメ,飛行
277,swellow,277,7,198,151,320,1,277,オオスバメ,飛行
278,wingull,278,6,95,54,321,1,278,キャモメ,水中1飛行
279,pelipper,279,12,280,151,322,1,279,ペリッパー,水中1飛行
280,ralts,280,4,66,40,323,1,280,ラルトス,不定形
281,kirlia,281,8,202,97,324,1,281,キルリア,不定形
282,gardevoir,282,16,484,233,325,1,282,サーナイト,不定形
283,surskit,283,5,17,54,328,1,283,アメタマ,水中1虫
284,masquerain,284,8,36,145,329,1,284,アメモース,水中1虫
285,shroomish,285,4,45,59,330,1,285,キノココ,妖精植物
286,breloom,286,12,392,161,331,1,286,キノガッサ,妖精植物
287,slakoth,287,8,240,56,332,1,287,ナマケロ,陸上
288,vigoroth,288,14,465,154,333,1,288,ヤルキモノ,陸上
289,slaking,289,20,1305,252,334,1,289,ケッキング,陸上
290,nincada,290,5,55,53,335,1,290,ツチニン,虫
291,ninjask,291,8,120,160,336,1,291,テッカニン,虫
292,shedinja,292,8,12,83,337,1,292,ヌケニン,鉱物
293,whismur,293,6,163,48,338,1,293,ゴニョニョ,怪獣陸上
294,loudred,294,10,405,126,339,1,294,ドゴーム,怪獣陸上
295,exploud,295,15,840,216,340,1,295,バクオング,怪獣陸上
296,makuhita,296,10,864,47,341,1,296,マクノシタ,人型
297,hariyama,297,23,2538,166,342,1,297,ハリテヤマ,人型
298,azurill,298,2,20,38,225,1,298,ルリリ,未発見
299,nosepass,299,10,970,75,343,1,299,ノズパス,鉱物
300,skitty,300,6,110,52,345,1,300,エネコ,陸上妖精
301,delcatty,301,11,326,133,346,1,301,エネコロロ,陸上妖精
302,sableye,302,5,110,133,347,1,302,ヤミラミ,人型
303,mawile,303,6,115,133,348,1,303,クチート,陸上妖精
304,aron,304,4,600,66,350,1,304,ココドラ,怪獣
305,lairon,305,9,1200,151,351,1,305,コドラ,怪獣
306,aggron,306,21,3600,239,352,1,306,ボスゴドラ,怪獣
307,meditite,307,6,112,56,354,1,307,アサナン,人型
308,medicham,308,13,315,144,355,1,308,チャーレム,人型
309,electrike,309,6,152,59,357,1,309,ラクライ,陸上
310,manectric,310,15,402,166,358,1,310,ライボルト,陸上
311,plusle,311,4,42,142,360,1,311,プラスル,妖精
312,minun,312,4,42,142,361,1,312,マイナン,妖精
313,volbeat,313,7,177,140,362,1,313,バルビート,虫人型
314,illumise,314,6,177,140,363,1,314,イルミーゼ,虫人型
315,roselia,315,3,20,140,365,1,315,ロゼリア,妖精植物
316,gulpin,316,4,103,60,367,1,316,ゴクリン,不定形
317,swalot,317,17,800,163,368,1,317,マルノーム,不定形
318,carvanha,318,8,208,61,369,1,318,キバニア,水中2
319,sharpedo,319,18,888,161,370,1,319,サメハダー,水中2
320,wailmer,320,20,1300,80,371,1,320,ホエルコ,陸上水中2
321,wailord,321,145,3980,175,372,1,321,ホエルオー,陸上水中2
322,numel,322,7,240,61,373,1,322,ドンメル,陸上
323,camerupt,323,19,2200,161,374,1,323,バクーダ,陸上
324,torkoal,324,5,804,165,375,1,324,コータス,陸上
325,spoink,325,7,306,66,376,1,325,バネブー,陸上
326,grumpig,326,9,715,165,377,1,326,ブーピッグ,陸上
327,spinda,327,11,50,126,378,1,327,パッチール,陸上人型
328,trapinch,328,7,150,58,379,1,328,ナックラー,虫
329,vibrava,329,11,153,119,380,1,329,ビブラーバ,虫
330,flygon,330,20,820,234,381,1,330,フライゴン,虫
331,cacnea,331,4,513,67,382,1,331,サボネア,植物人型
332,cacturne,332,13,774,166,383,1,332,ノクタス,植物人型
333,swablu,333,4,12,62,384,1,333,チルット,飛行ドラゴン
334,altaria,334,11,206,172,385,1,334,チルタリス,飛行ドラゴン
335,zangoose,335,13,403,160,386,1,335,ザングース,陸上
336,seviper,336,27,525,160,387,1,336,ハブネーク,陸上ドラゴン
337,lunatone,337,10,1680,154,388,1,337,ルナトーン,鉱物
338,solrock,338,12,1540,154,389,1,338,ソルロック,鉱物
339,barboach,339,4,19,58,390,1,339,ドジョッチ,水中2
340,whiscash,340,9,236,164,391,1,340,ナマズン,水中2
341,corphish,341,6,115,62,392,1,341,ヘイガニ,水中1水中3
342,crawdaunt,342,11,328,164,393,1,342,シザリガー,水中1水中3
343,baltoy,343,5,215,60,394,1,343,ヤジロン,鉱物
344,claydol,344,15,1080,175,395,1,344,ネンドール,鉱物
345,lileep,345,10,238,71,396,1,345,リリーラ,水中3
346,cradily,346,15,604,173,397,1,346,ユレイドル,水中3
347,anorith,347,7,125,71,398,1,347,アノプス,水中3
348,armaldo,348,15,682,173,399,1,348,アーマルド,水中3
349,feebas,349,6,74,40,400,1,349,ヒンバス,水中1ドラゴン
350,milotic,350,62,1620,189,401,1,350,ミロカロス,水中1ドラゴン
351,castform,351,3,8,147,402,1,351,ポワルン,妖精不定形
352,kecleon,352,10,220,154,406,1,352,カクレオン,陸上
353,shuppet,353,6,23,59,407,1,353,カゲボウズ,不定形
354,banette,354,11,125,159,408,1,354,ジュペッタ,不定形
355,duskull,355,8,150,59,410,1,355,ヨマワル,不定形
356,dusclops,356,16,306,159,411,1,356,サマヨール,不定形
357,tropius,357,20,1000,161,413,1,357,トロピウス,怪獣植物
358,chimecho,358,6,10,149,415,1,358,チリーン,不定形
359,absol,359,12,470,163,416,1,359,アブソル,陸上
360,wynaut,360,6,140,52,246,1,360,ソーナノ,未発見
361,snorunt,361,7,168,60,418,1,361,ユキワラシ,妖精鉱物
362,glalie,362,15,2565,168,419,1,362,オニゴーリ,妖精鉱物
363,spheal,363,8,395,58,421,1,363,タマザラシ,水中1陸上
364,sealeo,364,11,876,144,422,1,364,トドグラー,水中1陸上
365,walrein,365,14,1506,239,423,1,365,トドゼルガ,水中1陸上
366,clamperl,366,4,525,69,424,1,366,パールル,水中1
367,huntail,367,17,270,170,425,1,367,ハンテール,水中1
368,gorebyss,368,18,226,170,426,1,368,サクラビス,水中1
369,relicanth,369,10,234,170,427,1,369,ジーランス,水中1水中2
370,luvdisc,370,6,87,116,428,1,370,ラブカス,水中2
371,bagon,371,6,421,60,429,1,371,タツベイ,ドラゴン
372,shelgon,372,11,1105,147,430,1,372,コモルー,ドラゴン
373,salamence,373,15,1026,270,431,1,373,ボーマンダ,ドラゴン
374,beldum,374,6,952,60,432,1,374,ダンバル,鉱物
375,metang,375,12,2025,147,433,1,375,メタング,鉱物
376,metagross,376,16,5500,270,434,1,376,メタグロス,鉱物
377,regirock,377,17,2300,261,435,1,377,レジロック,未発見
378,regice,378,18,1750,261,436,1,378,レジアイス,未発見
379,registeel,379,19,2050,261,437,1,379,レジスチル,未発見
380,latias,380,14,400,270,438,1,380,ラティアス,未発見
381,latios,381,20,600,270,439,1,381,ラティオス,未発見
382,kyogre,382,45,3520,302,440,1,382,カイオーガ,未発見
383,groudon,383,35,9500,302,441,1,383,グラードン,未発見
384,rayquaza,384,70,2065,306,442,1,384,レックウザ,未発見
385,jirachi,385,3,11,270,443,1,385,ジラーチ,未発見
386,deoxys-normal,386,17,608,270,444,1,386,デオキシスN,未発見
387,turtwig,387,4,102,64,448,1,387,ナエトル,怪獣植物
388,grotle,388,11,970,142,449,1,388,ハヤシガメ,怪獣植物
389,torterra,389,22,3100,236,450,1,389,ドダイトス,怪獣植物
390,chimchar,390,5,62,62,451,1,390,ヒコザル,陸上人型
391,monferno,391,9,220,142,452,1,391,モウカザル,陸上人型
392,infernape,392,12,550,240,453,1,392,ゴウカザル,陸上人型
393,piplup,393,4,52,63,454,1,393,ポッチャマ,水中1陸上
394,prinplup,394,8,230,142,455,1,394,ポッタイシ,水中1陸上
395,empoleon,395,17,845,239,456,1,395,エンペルト,水中1陸上
396,starly,396,3,20,49,457,1,396,ムックル,飛行
397,staravia,397,6,155,119,458,1,397,ムクバード,飛行
398,staraptor,398,12,249,214,459,1,398,ムクホーク,飛行
399,bidoof,399,5,200,50,460,1,399,ビッパ,水中1陸上
400,bibarel,400,10,315,144,461,1,400,ビーダル,水中1陸上
401,kricketot,401,3,22,39,462,1,401,コロボーシ,虫
402,kricketune,402,10,255,134,463,1,402,コロトック,虫
403,shinx,403,5,95,53,464,1,403,コリンク,陸上
404,luxio,404,9,305,127,465,1,404,ルクシオ,陸上
405,luxray,405,14,420,235,466,1,405,レントラー,陸上
406,budew,406,2,12,56,364,1,406,スボミー,未発見
407,roserade,407,9,145,227,366,1,407,ロズレイド,妖精植物
408,cranidos,408,9,315,70,467,1,408,ズガイドス,怪獣
409,rampardos,409,16,1025,173,468,1,409,ラムパルド,怪獣
410,shieldon,410,5,570,70,469,1,410,タテトプス,怪獣
411,bastiodon,411,13,1495,173,470,1,411,トリデプス,怪獣
412,burmy,412,2,34,45,471,1,412,ミノムッチ,虫
413,wormadam-plant,413,5,65,148,472,1,413,ミノマダム草,虫
414,mothim,414,9,233,148,475,1,414,ガーメイル,虫
415,combee,415,3,55,49,476,1,415,ミツハニー,虫
416,vespiquen,416,12,385,166,477,1,416,ビークイン,虫
417,pachirisu,417,4,39,142,478,1,417,パチリス,陸上妖精
418,buizel,418,7,295,66,479,1,418,ブイゼル,水中1陸上
419,floatzel,419,11,335,173,480,1,419,フローゼル,水中1陸上
420,cherubi,420,4,33,55,481,1,420,チェリンボ,妖精植物
421,cherrim,421,5,93,158,482,1,421,チェリム,妖精植物
422,shellos,422,3,63,65,483,1,422,カラナクシ,水中1不定形
423,gastrodon,423,9,299,166,484,1,423,トリトドン,水中1不定形
424,ambipom,424,12,203,169,234,1,424,エテボース,陸上
425,drifloon,425,4,12,70,485,1,425,フワンテ,不定形
426,drifblim,426,12,150,174,486,1,426,フワライド,不定形
427,buneary,427,4,55,70,487,1,427,ミミロル,陸上人型
428,lopunny,428,12,333,168,488,1,428,ミミロップ,陸上人型
429,mismagius,429,9,44,173,244,1,429,ムウマージ,不定形
430,honchkrow,430,9,273,177,242,1,430,ドンカラス,飛行
431,glameow,431,5,39,62,489,1,431,ニャルマー,陸上
432,purugly,432,10,438,158,490,1,432,ブニャット,陸上
433,chingling,433,2,6,57,414,1,433,リーシャン,未発見
434,stunky,434,4,192,66,491,1,434,スカンプー,陸上
435,skuntank,435,10,380,168,492,1,435,スカタンク,陸上
436,bronzor,436,5,605,60,493,1,436,ドーミラー,鉱物
